domain,orig_domain,tiny_ids
Dementia,alzheimer-dementia,hZvxNqdA0No
Alzheimer,alzheimer-dementia,hZvxNqdA0No
Dementia,alzheimer-dementia,w4BeQYKeH
Alzheimer,alzheimer-dementia,w4BeQYKeH
Dementia,alzheimer-dementia,XIV9QvyT3
Alzheimer,alzheimer-dementia,XIV9QvyT3
Dementia,alzheimer-dementia,7Jx9_oGjE
Alzheimer,alzheimer-dementia,7Jx9_oGjE
Dementia,alzheimer-dementia,cKo6jsRVF
Alzheimer,alzheimer-dementia,cKo6jsRVF
Dementia,alzheimer-dementia,eHprz9MOw0Y
Alzheimer,alzheimer-dementia,eHprz9MOw0Y
Dementia,alzheimer-dementia,EebD31FHAjj
Alzheimer,alzheimer-dementia,EebD31FHAjj
Dementia,alzheimer-dementia,YMhS2Gn4f11
Alzheimer,alzheimer-dementia,YMhS2Gn4f11
Dementia,alzheimer-dementia,ahzmGH13uug
Alzheimer,alzheimer-dementia,ahzmGH13uug
Dementia,alzheimer-dementia,C7peeRVS73k
Alzheimer,alzheimer-dementia,C7peeRVS73k
Dementia,alzheimer-dementia,pzy6ObCPjS2
Alzheimer,alzheimer-dementia,pzy6ObCPjS2
Dementia,alzheimer-dementia,mZSDp5nJx0k
Alzheimer,alzheimer-dementia,mZSDp5nJx0k
Dementia,alzheimer-dementia,CtGgXJY7T5_
Alzheimer,alzheimer-dementia,CtGgXJY7T5_
Dementia,alzheimer-dementia,qvDp4xftS0F
Alzheimer,alzheimer-dementia,qvDp4xftS0F
Dementia,alzheimer-dementia,3TauF5_hgrX
Alzheimer,alzheimer-dementia,3TauF5_hgrX
Dementia,alzheimer-dementia,hG9MBm_bU2o
Alzheimer,alzheimer-dementia,hG9MBm_bU2o
Dementia,alzheimer-dementia,_Xo7dZFpajq
Alzheimer,alzheimer-dementia,_Xo7dZFpajq
Dementia,alzheimer-dementia,QkBtsOp6L
Alzheimer,alzheimer-dementia,QkBtsOp6L
Dementia,alzheimer-dementia,mJEKBtpuQDH
Alzheimer,alzheimer-dementia,mJEKBtpuQDH
Dementia,alzheimer-dementia,Vb5AT0eybNT
Alzheimer,alzheimer-dementia,Vb5AT0eybNT
Dementia,alzheimer-dementia,71k5OoGsN
Alzheimer,alzheimer-dementia,71k5OoGsN
Dementia,alzheimer-dementia,pWHE47GYPUa
Alzheimer,alzheimer-dementia,pWHE47GYPUa
Dementia,alzheimer-dementia,hbgYw7HPpXW
Alzheimer,alzheimer-dementia,hbgYw7HPpXW
Dementia,alzheimer-dementia,3Rys_UvtnWH
Alzheimer,alzheimer-dementia,3Rys_UvtnWH
Dementia,alzheimer-dementia,_AwrfGuZh5Q
Alzheimer,alzheimer-dementia,_AwrfGuZh5Q
Dementia,alzheimer-dementia,hV645e6uDkU
Alzheimer,alzheimer-dementia,hV645e6uDkU
Dementia,alzheimer-dementia,HAEBunVJ
Alzheimer,alzheimer-dementia,HAEBunVJ
Dementia,alzheimer-dementia,IeV6CAKH
Alzheimer,alzheimer-dementia,IeV6CAKH
Dementia,alzheimer-dementia,IxOnCTXE
Alzheimer,alzheimer-dementia,IxOnCTXE
Dementia,alzheimer-dementia,_3_v5Zm7
Alzheimer,alzheimer-dementia,_3_v5Zm7
Dementia,alzheimer-dementia,2FbQdsg8C
Alzheimer,alzheimer-dementia,2FbQdsg8C
Dementia,alzheimer-dementia,oviodTKK8
Alzheimer,alzheimer-dementia,oviodTKK8
Dementia,alzheimer-dementia,e0dkp31t
Alzheimer,alzheimer-dementia,e0dkp31t
Dementia,alzheimer-dementia,j63Z2hljd
Alzheimer,alzheimer-dementia,j63Z2hljd
Dementia,alzheimer-dementia,NX4G15mqb
Alzheimer,alzheimer-dementia,NX4G15mqb
Dementia,alzheimer-dementia,smU8UPZy0
Alzheimer,alzheimer-dementia,smU8UPZy0
Dementia,alzheimer-dementia,HH4jo5F78
Alzheimer,alzheimer-dementia,HH4jo5F78
Dementia,alzheimer-dementia,URr_Yf9_V
Alzheimer,alzheimer-dementia,URr_Yf9_V
Dementia,alzheimer-dementia,UsfhTL7BC
Alzheimer,alzheimer-dementia,UsfhTL7BC
Dementia,alzheimer-dementia,iFu3gg2_
Alzheimer,alzheimer-dementia,iFu3gg2_
Dementia,alzheimer-dementia,sq3j8lwei
Alzheimer,alzheimer-dementia,sq3j8lwei
Dementia,alzheimer-dementia,kFEY7z1x
Alzheimer,alzheimer-dementia,kFEY7z1x
Dementia,alzheimer-dementia,L6ot1fRw3
Alzheimer,alzheimer-dementia,L6ot1fRw3
Dementia,alzheimer-dementia,DZmlXbIb
Alzheimer,alzheimer-dementia,DZmlXbIb
Dementia,alzheimer-dementia,QhQb8l9C_
Alzheimer,alzheimer-dementia,QhQb8l9C_
Dementia,alzheimer-dementia,y2x4ltGIY
Alzheimer,alzheimer-dementia,y2x4ltGIY
Dementia,alzheimer-dementia,B1YHKGtH
Alzheimer,alzheimer-dementia,B1YHKGtH
Dementia,alzheimer-dementia,SjoMhxVa3
Alzheimer,alzheimer-dementia,SjoMhxVa3
Dementia,alzheimer-dementia,K_3ldoSGX
Alzheimer,alzheimer-dementia,K_3ldoSGX
Dementia,alzheimer-dementia,g8tai6eN
Alzheimer,alzheimer-dementia,g8tai6eN
Dementia,alzheimer-dementia,9SNx5hM39
Alzheimer,alzheimer-dementia,9SNx5hM39
Dementia,alzheimer-dementia,IOywAoQG
Alzheimer,alzheimer-dementia,IOywAoQG
Dementia,alzheimer-dementia,PHiQ7FsK
Alzheimer,alzheimer-dementia,PHiQ7FsK
Dementia,alzheimer-dementia,t4KS6j8lZq
Alzheimer,alzheimer-dementia,t4KS6j8lZq
Dementia,alzheimer-dementia,PIi3cZcRK
Alzheimer,alzheimer-dementia,PIi3cZcRK
Dementia,alzheimer-dementia,QkiZKjMj4
Alzheimer,alzheimer-dementia,QkiZKjMj4
Dementia,alzheimer-dementia,XylWOiMsV
Alzheimer,alzheimer-dementia,XylWOiMsV
Dementia,alzheimer-dementia,Qk6WtoGoE
Alzheimer,alzheimer-dementia,Qk6WtoGoE
Dementia,alzheimer-dementia,Qy8_OjzsN
Alzheimer,alzheimer-dementia,Qy8_OjzsN
Dementia,alzheimer-dementia,QkdE_izjV
Alzheimer,alzheimer-dementia,QkdE_izjV
Dementia,alzheimer-dementia,71NfFjfo4
Alzheimer,alzheimer-dementia,71NfFjfo4
Dementia,alzheimer-dementia,QywEdsGjE
Alzheimer,alzheimer-dementia,QywEdsGjE
Dementia,alzheimer-dementia,7y6ftsMoN
Alzheimer,alzheimer-dementia,7y6ftsMoN
Dementia,alzheimer-dementia,QJqGKsMiV
Alzheimer,alzheimer-dementia,QJqGKsMiV
Dementia,alzheimer-dementia,XksGtofs4
Alzheimer,alzheimer-dementia,XksGtofs4
Dementia,alzheimer-dementia,XyAMOjGjN
Alzheimer,alzheimer-dementia,XyAMOjGjN
Dementia,alzheimer-dementia,712Q_iGi4
Alzheimer,alzheimer-dementia,712Q_iGi4
Dementia,alzheimer-dementia,7yQVdjMsV
Alzheimer,alzheimer-dementia,7yQVdjMsV
Dementia,alzheimer-dementia,QJTm_jfsV
Alzheimer,alzheimer-dementia,QJTm_jfsV
Dementia,alzheimer-dementia,QkkV_sGoE
Alzheimer,alzheimer-dementia,QkkV_sGoE
Dementia,alzheimer-dementia,mJfWuoMiE
Alzheimer,alzheimer-dementia,mJfWuoMiE
Dementia,alzheimer-dementia,QyBZuofoN
Alzheimer,alzheimer-dementia,QyBZuofoN
Dementia,alzheimer-dementia,7JXXOjziE
Alzheimer,alzheimer-dementia,7JXXOjziE
Dementia,alzheimer-dementia,QJI7dsGiV
Alzheimer,alzheimer-dementia,QJI7dsGiV
Dementia,alzheimer-dementia,QyEQdjfo4
Alzheimer,alzheimer-dementia,QyEQdjfo4
Dementia,alzheimer-dementia,QyHrusfsV
Alzheimer,alzheimer-dementia,QyHrusfsV
Dementia,alzheimer-dementia,mkoE_jMo4
Alzheimer,alzheimer-dementia,mkoE_jMo4
Dementia,alzheimer-dementia,X1xQ_jGsE
Alzheimer,alzheimer-dementia,X1xQ_jGsE
Dementia,alzheimer-dementia,Q1ZXdsGiN
Alzheimer,alzheimer-dementia,Q1ZXdsGiN
Dementia,alzheimer-dementia,m14_FoGsV
Alzheimer,alzheimer-dementia,m14_FoGsV
Dementia,alzheimer-dementia,mylVtofoE
Alzheimer,alzheimer-dementia,mylVtofoE
Dementia,alzheimer-dementia,XJtW_jGi4
Alzheimer,alzheimer-dementia,XJtW_jGi4
Dementia,alzheimer-dementia,7yfMdozsV
Alzheimer,alzheimer-dementia,7yfMdozsV
Dementia,alzheimer-dementia,QyefOifiN
Alzheimer,alzheimer-dementia,QyefOifiN
Dementia,alzheimer-dementia,7JkGdozjE
Alzheimer,alzheimer-dementia,7JkGdozjE
Dementia,alzheimer-dementia,myHMOoGi4
Alzheimer,alzheimer-dementia,myHMOoGi4
Dementia,alzheimer-dementia,mk0_OozjE
Alzheimer,alzheimer-dementia,mk0_OozjE
Dementia,alzheimer-dementia,Q1VGuoGoE
Alzheimer,alzheimer-dementia,Q1VGuoGoE
Dementia,alzheimer-dementia,7y2ZusMjN
Alzheimer,alzheimer-dementia,7y2ZusMjN
Dementia,alzheimer-dementia,7yoZdozjN
Alzheimer,alzheimer-dementia,7yoZdozjN
Dementia,alzheimer-dementia,Q15XusMoV
Alzheimer,alzheimer-dementia,Q15XusMoV
Dementia,alzheimer-dementia,7yl4OofjN
Alzheimer,alzheimer-dementia,7yl4OofjN
Dementia,alzheimer-dementia,7yGV_jzs4
Alzheimer,alzheimer-dementia,7yGV_jzs4
Dementia,alzheimer-dementia,7kTfuiGjE
Alzheimer,alzheimer-dementia,7kTfuiGjE
Dementia,alzheimer-dementia,7yOruoGjE
Alzheimer,alzheimer-dementia,7yOruoGjE
Dementia,alzheimer-dementia,XJLrOoMsV
Alzheimer,alzheimer-dementia,XJLrOoMsV
Dementia,alzheimer-dementia,7ymBuifjN
Alzheimer,alzheimer-dementia,7ymBuifjN
Dementia,alzheimer-dementia,mJ2eOoMsE
Alzheimer,alzheimer-dementia,mJ2eOoMsE
Dementia,alzheimer-dementia,mk6gdozsN
Alzheimer,alzheimer-dementia,mk6gdozsN
Dementia,alzheimer-dementia,7kkWdiMjE
Alzheimer,alzheimer-dementia,7kkWdiMjE
Dementia,alzheimer-dementia,X1PXOiziE
Alzheimer,alzheimer-dementia,X1PXOiziE
Dementia,alzheimer-dementia,m1t7OjGoV
Alzheimer,alzheimer-dementia,m1t7OjGoV
Dementia,alzheimer-dementia,XyrEFiGi4
Alzheimer,alzheimer-dementia,XyrEFiGi4
Dementia,alzheimer-dementia,mksEtofsV
Alzheimer,alzheimer-dementia,mksEtofsV
Dementia,alzheimer-dementia,mk_4Fjzo4
Alzheimer,alzheimer-dementia,mk_4Fjzo4
Dementia,alzheimer-dementia,Xyxmtjfj4
Alzheimer,alzheimer-dementia,Xyxmtjfj4
Dementia,alzheimer-dementia,mkBQKsziN
Alzheimer,alzheimer-dementia,mkBQKsziN
Dementia,alzheimer-dementia,Q1OGYiGsV
Alzheimer,alzheimer-dementia,Q1OGYiGsV
Dementia,alzheimer-dementia,7kDGtiMi4
Alzheimer,alzheimer-dementia,7kDGtiMi4
Dementia,alzheimer-dementia,QywQYjMsV
Alzheimer,alzheimer-dementia,QywQYjMsV
Dementia,alzheimer-dementia,7kzNtiGoE
Alzheimer,alzheimer-dementia,7kzNtiGoE
Dementia,alzheimer-dementia,XkmEtjMiE
Alzheimer,alzheimer-dementia,XkmEtjMiE
Dementia,alzheimer-dementia,m1xHtoGj4
Alzheimer,alzheimer-dementia,m1xHtoGj4
Dementia,alzheimer-dementia,XJ0NFiziN
Alzheimer,alzheimer-dementia,XJ0NFiziN
Dementia,alzheimer-dementia,QkqEKoziN
Alzheimer,alzheimer-dementia,QkqEKoziN
Dementia,alzheimer-dementia,XJTEtsMjV
Alzheimer,alzheimer-dementia,XJTEtsMjV
Dementia,alzheimer-dementia,Q1ZSFifoV
Alzheimer,alzheimer-dementia,Q1ZSFifoV
Dementia,alzheimer-dementia,XyI4FiMsN
Alzheimer,alzheimer-dementia,XyI4FiMsN
Dementia,alzheimer-dementia,7k0fFoGsN
Alzheimer,alzheimer-dementia,7k0fFoGsN
Dementia,alzheimer-dementia,QyrNOjzjV
Alzheimer,alzheimer-dementia,QyrNOjzjV
Dementia,alzheimer-dementia,XJBsKsMi4
Alzheimer,alzheimer-dementia,XJBsKsMi4
Dementia,alzheimer-dementia,Q1aotizi4
Alzheimer,alzheimer-dementia,Q1aotizi4
Dementia,alzheimer-dementia,7ywiKozsE
Alzheimer,alzheimer-dementia,7ywiKozsE
Dementia,alzheimer-dementia,QkjstoMsN
Alzheimer,alzheimer-dementia,QkjstoMsN
Dementia,alzheimer-dementia,QkkotjfsV
Alzheimer,alzheimer-dementia,QkkotjfsV
Dementia,alzheimer-dementia,XJRoFoMoE
Alzheimer,alzheimer-dementia,XJRoFoMoE
Dementia,alzheimer-dementia,mkK9tsMsV
Alzheimer,alzheimer-dementia,mkK9tsMsV
Dementia,alzheimer-dementia,mk39Fozj4
Alzheimer,alzheimer-dementia,mk39Fozj4
Dementia,alzheimer-dementia,XktttifoN
Alzheimer,alzheimer-dementia,XktttifoN
Dementia,alzheimer-dementia,XJZoYoMoE
Alzheimer,alzheimer-dementia,XJZoYoMoE
Dementia,alzheimer-dementia,m1GjYszoV
Alzheimer,alzheimer-dementia,m1GjYszoV
Dementia,alzheimer-dementia,X1nttjfj4
Alzheimer,alzheimer-dementia,X1nttjfj4
Dementia,alzheimer-dementia,XyoKtszoE
Alzheimer,alzheimer-dementia,XyoKtszoE
Dementia,alzheimer-dementia,7yULFjfiE
Alzheimer,alzheimer-dementia,7yULFjfiE
Dementia,alzheimer-dementia,X1s99oGsE
Alzheimer,alzheimer-dementia,X1s99oGsE
Dementia,alzheimer-dementia,7kvqcjMsV
Alzheimer,alzheimer-dementia,7kvqcjMsV
Dementia,alzheimer-dementia,71Sq5jfiV
Alzheimer,alzheimer-dementia,71Sq5jfiV
Dementia,alzheimer-dementia,m19fusGs4
Alzheimer,alzheimer-dementia,m19fusGs4
Dementia,alzheimer-dementia,71jMOofiE
Alzheimer,alzheimer-dementia,71jMOofiE
Dementia,alzheimer-dementia,mks7FsGsE
Alzheimer,alzheimer-dementia,mks7FsGsE
Dementia,alzheimer-dementia,71D6YjMoE
Alzheimer,alzheimer-dementia,71D6YjMoE
Dementia,alzheimer-dementia,XkPLKoGo4
Alzheimer,alzheimer-dementia,XkPLKoGo4
Dementia,alzheimer-dementia,7yfruizjN
Alzheimer,alzheimer-dementia,7yfruizjN
Dementia,alzheimer-dementia,Q1yEtiGo4
Alzheimer,alzheimer-dementia,Q1yEtiGo4
Blood pressure,bloodpressure,m1WOHQqjBA
Blood pressure,bloodpressure,cvtAEVWeVwO
Blood pressure,bloodpressure,QJcxhydqCc7
Blood pressure,bloodpressure,XZO3pRNw42G
Blood pressure,bloodpressure,sfvFJDT0Xf0
Blood pressure,bloodpressure,PhYadapBrs
Blood pressure,bloodpressure,XJNgh__5C5X
Blood pressure,bloodpressure,WMROGHkx7QO
Blood pressure,bloodpressure,OAk9wvCSAdd
Blood pressure,bloodpressure,X1Glhb_909X
Blood pressure,bloodpressure,dOcT9Q1Dx1b
Blood pressure,bloodpressure,mkWg3b_qR5m
Blood pressure,bloodpressure,7kyEPKapL
Blood pressure,bloodpressure,XkQvytTTL
Blood pressure,bloodpressure,CbYAFEdpvBU
Blood pressure,bloodpressure,m1NxKL5j2ig
Blood pressure,bloodpressure,XJmegn5j2ix
Blood pressure,bloodpressure,qTGX9fOrAGr
Blood pressure,bloodpressure,PHwM0Tgo524
Blood pressure,bloodpressure,VKaYVgGAGwM
Blood pressure,bloodpressure,tC8MbyqRGf2
Blood pressure,bloodpressure,7yfxtL5jnix
Blood pressure,bloodpressure,X1rxYUqsnil
Blood pressure,bloodpressure,yEk5oBo6SQ
Blood pressure,bloodpressure,71l0vqj2jx
Blood pressure,bloodpressure,7kbcxmO6p8
Blood pressure,bloodpressure,Xk7eYoqinje
Blood pressure,bloodpressure,EJYVg6CMpHW
Blood pressure,bloodpressure,GGNqmq_8r4B
Blood pressure,bloodpressure,AOQBxScN5aW
Blood pressure,bloodpressure,ydxbBZ2zz8e
Blood pressure,bloodpressure,y6fea_86YMr
Blood pressure,bloodpressure,VqnKBvo1GAw
Blood pressure,bloodpressure,yq8pxmmaKX6
Blood pressure,bloodpressure,J9neM6a9CCt
Blood pressure,bloodpressure,1TVXCJN9Hna
Blood pressure,bloodpressure,sshuvUbJHYg
Blood pressure,bloodpressure,0A02oYHOtYj
Blood pressure,bloodpressure,4FZK1eePYa
Blood pressure,bloodpressure,axQdDjPzPDM
Blood pressure,bloodpressure,HudgYyO7hpK
Blood pressure,bloodpressure,mygsWOYapI
Blood pressure,bloodpressure,Q1WjZdtpp8
Blood pressure,bloodpressure,Qk0WuYTTU
Blood pressure,bloodpressure,NzWmoXqDRfN
Blood pressure,bloodpressure,XkzpZdF66I
Blood pressure,bloodpressure,X1eCbOYpaI
Blood pressure,bloodpressure,mk8GExjgcb
Blood pressure,bloodpressure,mJ_0W_F6aU
Blood pressure,bloodpressure,OZP4kngPyY
Blood pressure,bloodpressure,ABDqHbBxfkm
Blood pressure,bloodpressure,jhqfHWe3dF0
Blood pressure,bloodpressure,6gpCRm2WKC3
Blood pressure,bloodpressure,SKP8FrzdSUa
Blood pressure,bloodpressure,2X9BHNXjGfk
Blood pressure,bloodpressure,xBFfdq1RCug
Blood pressure,bloodpressure,Xy3uxdcA9m
Blood pressure,bloodpressure,kunusyM1AQf
Blood pressure,bloodpressure,NuUP2fYkpe_
Blood pressure,bloodpressure,JjoB4037wP1
Blood pressure,bloodpressure,Q1jlo89onil
Blood pressure,bloodpressure,715gjL9s3oe
Blood pressure,bloodpressure,XJUxKUqj2se
Blood pressure,bloodpressure,mJQgYI9o2oe
Blood pressure,bloodpressure,xAggEgvD
Blood pressure,bloodpressure,GOr1OFJAKC
Blood pressure,bloodpressure,G_JPOtGn5
Blood pressure,bloodpressure,Cqc1c1FHbA
Blood pressure,bloodpressure,Q1Av9ihjx
Blood pressure,bloodpressure,M4dzFyBa6NG
Blood pressure,bloodpressure,7Jj8v5ihix
Blood pressure,bloodpressure,Xkb0mPF6pI
Blood pressure,bloodpressure,m1mttq6Cm7
Blood pressure,bloodpressure,Qy8FK9a07m
Blood pressure,bloodpressure,mkBFtqT07Q
Blood pressure,bloodpressure,mkzFY5pRQm
Blood pressure,bloodpressure,QyvYF56AXm
Blood pressure,bloodpressure,mJ4YFq6CQm
Blood pressure,bloodpressure,XJ_tYcpC7X
Blood pressure,bloodpressure,QyWWmP9jhsg
Blood pressure,bloodpressure,IhS7HQlNN
Blood pressure,bloodpressure,Qkt28KapU
Blood pressure,bloodpressure,yNa2CGfv
Blood pressure,bloodpressure,6HJxo0buFnh
Blood pressure,bloodpressure,XJDZ_vqs2sg
Blood pressure,bloodpressure,nZoBZAVUysn
Blood pressure,bloodpressure,yGYxdZ5h_9E
Blood pressure,bloodpressure,tIzvfFjr
Blood pressure,bloodpressure,mJlxs0uRsrf
Blood pressure,bloodpressure,gW6BS3WqyuK
Blood pressure,bloodpressure,myGxeuqihoe
Blood pressure,bloodpressure,VW1xDO5dYJF
Blood pressure,bloodpressure,XjRTOFeS4tD
